Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 57.0.2987.133,,2017-04-10 14:28:34,2017-04-10 14:29:28,54.276s,PASSED
,,,,,,
Test Cases/Test 1 by Tom,Chrome 57.0.2987.133,,2017-04-10 14:28:35,2017-04-10 14:29:17,42.211s,PASSED
openBrowser,Chrome 57.0.2987.133,,2017-04-10 14:28:36,2017-04-10 14:28:40,3.709s,PASSED
navigateToUrl,Chrome 57.0.2987.133,,2017-04-10 14:28:40,2017-04-10 14:29:17,36.505s,PASSED
closeBrowser,Chrome 57.0.2987.133,,2017-04-10 14:29:17,2017-04-10 14:29:17,0.145s,PASSED
,,,,,,
Test Cases/Test 2 by Kim,Chrome 57.0.2987.133,,2017-04-10 14:29:17,2017-04-10 14:29:28,11.105s,PASSED
openBrowser,Chrome 57.0.2987.133,,2017-04-10 14:29:17,2017-04-10 14:29:28,10.695s,PASSED
closeBrowser,Chrome 57.0.2987.133,,2017-04-10 14:29:28,2017-04-10 14:29:28,0.135s,PASSED
,,,,,,
,Chrome 57.0.2987.133,,2017-04-10 14:29:28,1970-01-01 05:30:00,,INFO
