Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 57.0.2987.133,,2017-04-10 10:43:05,2017-04-10 10:43:15,10.491s,PASSED
,,,,,,
Test Cases/Test 1 by Tom,Chrome 57.0.2987.133,,2017-04-10 10:43:05,2017-04-10 10:43:15,10.115s,PASSED
openBrowser,Chrome 57.0.2987.133,,2017-04-10 10:43:05,2017-04-10 10:43:08,2.404s,PASSED
navigateToUrl,Chrome 57.0.2987.133,,2017-04-10 10:43:08,2017-04-10 10:43:15,7.055s,PASSED
closeBrowser,Chrome 57.0.2987.133,,2017-04-10 10:43:15,2017-04-10 10:43:15,0.101s,PASSED
,,,,,,
,Chrome 57.0.2987.133,,2017-04-10 10:43:15,1970-01-01 05:30:00,,INFO
