Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 57.0.2987.133,,2017-04-10 14:17:51,2017-04-10 14:18:20,29.020s,PASSED
,,,,,,
Test Cases/Test 1 by Tom,Chrome 57.0.2987.133,,2017-04-10 14:17:52,2017-04-10 14:18:04,12.073s,PASSED
openBrowser,Chrome 57.0.2987.133,,2017-04-10 14:17:53,2017-04-10 14:17:58,4.176s,PASSED
navigateToUrl,Chrome 57.0.2987.133,,2017-04-10 14:17:58,2017-04-10 14:18:04,6.504s,PASSED
closeBrowser,Chrome 57.0.2987.133,,2017-04-10 14:18:04,2017-04-10 14:18:04,0.181s,PASSED
,,,,,,
Test Cases/Test 2 by Kim,Chrome 57.0.2987.133,,2017-04-10 14:18:04,2017-04-10 14:18:20,16.031s,PASSED
openBrowser,Chrome 57.0.2987.133,,2017-04-10 14:18:05,2017-04-10 14:18:20,15.396s,PASSED
closeBrowser,Chrome 57.0.2987.133,,2017-04-10 14:18:20,2017-04-10 14:18:20,0.146s,PASSED
,,,,,,
,Chrome 57.0.2987.133,,2017-04-10 14:18:20,1970-01-01 05:30:00,,INFO
