Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 57.0.2987.133,,2017-04-10 10:37:00,2017-04-10 10:37:07,7.653s,PASSED
,,,,,,
Test Cases/Test 1 by Tom,Chrome 57.0.2987.133,,2017-04-10 10:37:00,2017-04-10 10:37:07,7.296s,PASSED
openBrowser,Chrome 57.0.2987.133,,2017-04-10 10:37:00,2017-04-10 10:37:02,2.014s,PASSED
navigateToUrl,Chrome 57.0.2987.133,,2017-04-10 10:37:02,2017-04-10 10:37:07,4.762s,PASSED
closeBrowser,Chrome 57.0.2987.133,,2017-04-10 10:37:07,2017-04-10 10:37:07,0.125s,PASSED
,,,,,,
,Chrome 57.0.2987.133,,2017-04-10 10:37:07,1970-01-01 05:30:00,,INFO
