Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 57.0.2987.133,,2017-04-10 10:38:36,2017-04-10 10:38:44,7.960s,PASSED
,,,,,,
Test Cases/Test 1 by Tom,Chrome 57.0.2987.133,,2017-04-10 10:38:36,2017-04-10 10:38:44,7.565s,PASSED
openBrowser,Chrome 57.0.2987.133,,2017-04-10 10:38:36,2017-04-10 10:38:39,2.323s,PASSED
navigateToUrl,Chrome 57.0.2987.133,,2017-04-10 10:38:39,2017-04-10 10:38:43,4.693s,PASSED
closeBrowser,Chrome 57.0.2987.133,,2017-04-10 10:38:43,2017-04-10 10:38:44,0.100s,PASSED
,,,,,,
,Chrome 57.0.2987.133,,2017-04-10 10:38:44,1970-01-01 05:30:00,,INFO
