Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 57.0.2987.133,,2017-04-10 11:18:48,2017-04-10 11:18:58,10.147s,PASSED
,,,,,,
Test Cases/Test 1 by Tom,Chrome 57.0.2987.133,,2017-04-10 11:18:48,2017-04-10 11:18:58,9.730s,PASSED
openBrowser,Chrome 57.0.2987.133,,2017-04-10 11:18:48,2017-04-10 11:18:51,2.119s,PASSED
navigateToUrl,Chrome 57.0.2987.133,,2017-04-10 11:18:51,2017-04-10 11:18:58,7.081s,PASSED
closeBrowser,Chrome 57.0.2987.133,,2017-04-10 11:18:58,2017-04-10 11:18:58,0.102s,PASSED
,,,,,,
,Chrome 57.0.2987.133,,2017-04-10 11:18:58,1970-01-01 05:30:00,,INFO
